date,feature_index,avg(band_0),avg(band_1),avg(band_2),avg(band_3),avg(band_4),avg(band_5),avg(band_6),avg(band_7),avg(band_8),avg(band_9),avg(band_10),avg(band_11)
2019-09-06T00:00:00.000Z,0,486.85960591133005,632.35960591133,1080.8990147783252,1226.7093596059112,1826.9753694581282,3131.522167487685,3670.0492610837437,3635.305418719212,3970.0270935960593,3802.5985221674878,2745.2980295566504,4.1330049261083746
2020-02-23T00:00:00.000Z,0,809.9162561576354,1157.884236453202,1824.6600985221676,2787.1724137931033,3169.963054187192,3412.849753694581,3680.485221674877,3936.871921182266,4044.714285714286,5731.894088669951,4987.06157635468,5.0
2020-12-29T00:00:00.000Z,0,616.9113300492611,959.743842364532,1596.4827586206898,2515.332512315271,2899.487684729064,3235.2733990147785,3531.1995073891626,3878.2413793103447,3946.310344827586,5346.477832512315,4390.4236453201975,5.0
2023-01-23T00:00:00.000Z,0,655.2733990147783,922.5123152709359,1583.3325123152708,2513.5270935960593,2925.65763546798,3209.6083743842364,3485.84236453202,3754.7118226600987,3865.7635467980294,5382.573891625616,4425.169950738917,5.0
2019-05-14T00:00:00.000Z,0,1067.5320197044334,1360.0197044334975,2211.4334975369457,3287.71921182266,3746.152709359606,3927.2216748768474,4157.975369458128,4091.2019704433496,4453.746305418719,6189.970443349754,5415.615763546798,5.0
2019-12-30T00:00:00.000Z,0,629.2783251231527,877.5369458128079,1566.192118226601,2491.206896551724,2869.1330049261082,3151.310344827586,3418.650246305419,3778.618226600985,3847.8399014778324,5387.645320197044,4340.953201970443,5.0
2022-01-28T00:00:00.000Z,0,1245.8645320197045,1445.5714285714287,2047.7389162561576,2899.0295566502464,3292.128078817734,3535.4950738916255,3761.4310344827586,3983.1724137931033,4061.1354679802957,5476.051724137931,4623.330049261083,5.0
2019-09-26T00:00:00.000Z,0,890.6995073891626,1021.9729064039409,1430.9704433497536,1591.4433497536945,2178.8768472906404,3215.6625615763546,3647.844827586207,3624.8374384236454,3935.1083743842364,3717.871921182266,2720.4655172413795,4.753694581280788
2020-03-09T00:00:00.000Z,0,920.5123152709359,1179.1674876847292,1912.8374384236454,2909.630541871921,3304.5665024630543,3557.2364532019706,3808.088669950739,4084.9162561576354,4184.20197044335,5815.738916256158,4867.522167487685,5.0
2021-01-23T00:00:00.000Z,0,778.0197044334975,1044.1354679802955,1766.9827586206898,2736.7610837438424,3124.564039408867,3440.5714285714284,3725.847290640394,4077.588669950739,4122.162561576355,5485.832512315271,4452.1502463054185,5.0
2021-09-30T00:00:00.000Z,0,561.5,694.9334975369458,1259.8029556650247,1658.344827586207,2287.576354679803,3137.5985221674878,3494.214285714286,3465.6330049261082,3910.3571428571427,4444.679802955665,3316.8349753694583,4.75615763546798
2018-03-20T00:00:00.000Z,0,977.35960591133,1246.7241379310344,2014.8916256157636,3065.6748768472908,3484.344827586207,3741.7241379310344,4005.554187192118,4287.083743842364,4376.977832512315,5963.022167487685,4990.8866995073895,5.0
2023-01-08T00:00:00.000Z,0,626.7709359605911,981.1748768472906,1604.5615763546798,2529.5467980295566,2922.4950738916255,3184.0862068965516,3458.935960591133,3767.0467980295566,3831.073891625616,5370.600985221675,4570.566502463054,5.0
2018-06-08T00:00:00.000Z,0,981.9975369458128,1254.5098522167489,2054.807881773399,3116.8275862068967,3560.652709359606,3739.6206896551726,3956.1453201970444,3943.3743842364534,4237.475369458128,6060.709359605911,5345.261083743842,5.0
2018-12-25T00:00:00.000Z,0,1308.3522167487686,1529.3300492610838,2235.600985221675,3135.118226600985,3521.5862068965516,3782.7093596059112,4011.463054187192,4309.56157635468,4327.231527093596,5664.1921182266005,4765.8817733990145,5.0
2019-04-04T00:00:00.000Z,0,,,,,,,,,,,,
2021-10-20T00:00:00.000Z,0,752.9408866995074,902.7019704433498,1432.5467980295566,2045.5197044334975,2534.3546798029556,2955.307881773399,3243.0320197044334,3269.0,3622.613300492611,4804.475369458128,3749.362068965517,5.0
2022-07-02T00:00:00.000Z,0,771.7432024169184,1105.6042296072508,1831.595166163142,2668.833836858006,3174.9577039274923,3628.818731117825,4013.95166163142,3982.6223564954685,4374.296072507553,6041.625377643504,5296.027190332326,5.0
2023-12-24T00:00:00.000Z,0,785.9975369458128,1121.3128078817733,1775.5665024630541,2750.6625615763546,3131.0714285714284,3423.743842364532,3700.233990147783,4045.7881773399013,4063.591133004926,5457.603448275862,4641.931034482759,5.0
2019-11-10T00:00:00.000Z,0,726.4285714285714,876.9334975369458,1370.8891625615763,2082.4655172413795,2477.2512315270938,2762.2586206896553,3042.5270935960593,3223.785714285714,3455.445812807882,4992.7709359605915,3922.305418719212,5.0
2019-07-03T00:00:00.000Z,0,1117.0714285714287,1360.2758620689656,2141.423645320197,2935.911330049261,3489.177339901478,4049.6059113300494,4358.822660098522,4238.6551724137935,4648.007389162562,5761.354679802956,4736.694581280788,5.0
2020-01-29T00:00:00.000Z,0,811.667487684729,1072.7487684729065,1812.576354679803,2802.985221674877,3174.423645320197,3453.6970443349755,3719.8891625615765,4099.637931034483,4121.54433497537,5634.458128078818,4611.5344827586205,5.0
2022-02-22T00:00:00.000Z,0,,,,,,,,,,,,
2018-06-13T00:00:00.000Z,0,895.1009852216749,1257.344827586207,2016.857142857143,3072.349753694581,3505.332512315271,3652.9285714285716,3939.7093596059112,3920.4433497536947,4204.20197044335,6140.093596059113,5692.453201970443,5.0
2018-10-31T00:00:00.000Z,0,683.64039408867,961.6330049261084,1544.487684729064,2269.768472906404,2727.576354679803,3145.7758620689656,3468.9408866995072,3633.0344827586205,3821.522167487685,5150.830049261083,4240.795566502463,5.0
2019-06-23T00:00:00.000Z,0,977.0147783251232,1212.0738916256157,1966.847290640394,2830.137931034483,3341.2610837438424,3723.0073891625616,3982.036945812808,3974.344827586207,4264.357142857143,5241.012315270936,4202.839901477832,5.0
2020-12-09T00:00:00.000Z,0,534.192118226601,865.7216748768473,1456.396551724138,2334.2758620689656,2728.1428571428573,3055.411330049261,3367.5566502463053,3654.3275862068967,3794.2758620689656,5288.756157635468,4302.470443349754,5.0
2020-12-24T00:00:00.000Z,0,654.4630541871921,900.6847290640394,1559.9137931034484,2450.43842364532,2862.3399014778324,3181.9408866995072,3470.593596059113,3723.935960591133,3891.3374384236454,5277.889162561576,4193.6921182266005,5.0
2021-03-09T00:00:00.000Z,0,880.7290640394089,1218.85960591133,1896.807881773399,2853.1748768472908,3226.5837438423646,3505.716748768473,3793.2216748768474,4092.2906403940888,4139.847290640394,5757.554187192119,5010.9975369458125,5.0
2021-11-19T00:00:00.000Z,0,720.256157635468,946.1059113300493,1604.9408866995075,2504.256157635468,2919.3571428571427,3211.0862068965516,3484.1871921182264,3755.9926108374384,3894.6600985221676,5416.3866995073895,4378.23645320197,5.0
2022-01-23T00:00:00.000Z,0,691.1699507389162,1075.3029556650247,1825.155172413793,2832.935960591133,3179.091133004926,3443.603448275862,3696.4433497536947,4090.6600985221676,4057.34236453202,5657.37684729064,4886.317733990148,5.0
2022-04-23T00:00:00.000Z,0,525.7093596059113,995.4162561576354,1817.3891625615763,2953.349753694581,3413.694581280788,3655.783251231527,3972.8029556650245,4216.172413793103,4362.007389162562,6181.45566502463,5388.470443349754,5.0
2022-09-05T00:00:00.000Z,0,,,,,,,,,,,,
