,date,B1_mean,B2_mean,B3_mean,B4_mean,B5_mean,B6_mean,B7_mean,B8_mean,B9_mean,B10_mean,B11_mean,B12_mean
0,2018-01-04T00:00:00.000Z,773.4117647058823,1257.8319327731092,2158.655462184874,3562.4957983193276,3988.516806722689,4212.571428571428,4436.079831932773,4780.53781512605,4656.4789915966385,5951.848739495798,5146.33193277311,5.0
1,2018-01-09T00:00:00.000Z,880.7731092436975,1172.7731092436975,2048.5378151260506,3370.546218487395,3799.1638655462184,3997.6428571428573,4192.726890756303,4480.571428571428,4421.970588235294,5724.268907563025,4773.743697478992,5.0
2,2018-01-14T00:00:00.000Z,841.1848739495798,1286.8991596638655,2115.7731092436975,3415.1008403361343,3799.6932773109243,4008.7436974789916,4215.466386554622,4551.966386554622,4415.542016806723,5658.319327731092,4904.357142857143,5.0
3,2018-01-19T00:00:00.000Z,,,,,,,,,,,,
4,2018-01-24T00:00:00.000Z,1056.1134453781513,1545.8403361344538,2349.5546218487393,3638.764705882353,4024.5252100840335,4221.735294117647,4437.273109243697,4791.27731092437,4642.609243697479,5923.126050420168,5163.197478991597,5.042016806722689
5,2018-01-29T00:00:00.000Z,1351.2226890756303,1572.0840336134454,2223.4873949579833,3239.8655462184875,3622.7394957983192,3763.5126050420167,3938.2100840336134,4109.731092436975,4165.6134453781515,5424.138655462185,4605.298319327731,5.0
6,2018-02-08T00:00:00.000Z,935.7142857142857,1236.126050420168,2119.285714285714,3505.6890756302523,3911.1806722689075,4081.4201680672268,4268.747899159664,4561.058823529412,4488.718487394958,5913.231092436975,5002.210084033613,5.0
7,2018-02-13T00:00:00.000Z,837.2142857142857,1274.2268907563025,2119.5714285714284,3466.781512605042,3890.575630252101,4017.9453781512607,4254.03781512605,4409.865546218487,4434.66806722689,5936.672268907563,5258.268907563025,5.0
8,2018-02-18T00:00:00.000Z,1128.8157894736842,1438.2105263157894,2260.5263157894738,3550.5263157894738,3963.1052631578946,4119.236842105263,4297.131578947368,4533.684210526316,4512.868421052632,5934.9473684210525,5014.4473684210525,5.0
9,2018-02-23T00:00:00.000Z,823.9663865546219,1180.5210084033613,1931.6050420168067,3180.36974789916,3639.8529411764707,3710.655462184874,3999.0882352941176,3914.90756302521,4198.8403361344535,5807.495798319328,5162.768907563025,5.0
10,2018-02-28T00:00:00.000Z,922.59243697479,1215.3697478991596,2089.5378151260506,3454.5042016806724,3929.176470588235,4035.3949579831933,4208.705882352941,4270.436974789916,4431.9327731092435,5889.584033613445,5057.373949579832,5.0
11,2018-03-05T00:00:00.000Z,910.2731092436975,1292.3445378151262,2162.2100840336134,3579.5966386554624,4025.731092436975,4143.609243697479,4375.5,4492.235294117647,4529.14705882353,6083.327731092437,5452.823529411765,5.0
12,2018-03-10T00:00:00.000Z,996.2226890756302,1349.2268907563025,2255.075630252101,3708.0336134453783,4153.55462184874,4302.894957983193,4487.773109243697,4725.865546218487,4692.59243697479,6163.424369747899,5316.626050420168,5.0
13,2018-03-15T00:00:00.000Z,912.2310924369748,1343.0588235294117,2223.8571428571427,3684.176470588235,4057.344537815126,4229.941176470588,4435.218487394958,4758.319327731092,4615.899159663865,6125.35294117647,5476.928571428572,5.0
14,2018-03-20T00:00:00.000Z,996.8613445378152,1329.0420168067226,2218.3109243697477,3634.5546218487393,4084.638655462185,4220.193277310925,4392.890756302521,4576.857142857143,4598.084033613445,6077.605042016807,5249.0,5.0
15,2018-03-25T00:00:00.000Z,1097.6638655462184,1459.579831932773,2206.747899159664,3456.8067226890757,3833.72268907563,3982.4117647058824,4203.22268907563,4398.016806722689,4375.621848739495,5936.323529411765,5265.155462184874,5.0
16,2018-04-04T00:00:00.000Z,1137.546218487395,1465.218487394958,2231.924369747899,3523.453781512605,3894.3823529411766,4037.8025210084033,4258.6596638655465,4454.857142857143,4417.470588235294,5966.378151260505,5349.550420168067,5.0
17,2018-04-09T00:00:00.000Z,1295.0,1561.0168067226891,2314.831932773109,3512.924369747899,3938.378151260504,4045.9327731092435,4218.348739495798,4314.655462184874,4422.575630252101,5915.9327731092435,5077.848739495798,5.0
18,2018-04-19T00:00:00.000Z,1064.0672268907563,1326.3529411764705,2204.9495798319326,3637.36974789916,4072.9789915966385,4211.466386554622,4391.77731092437,4558.73949579832,4589.5,6144.941176470588,5336.26050420168,5.0
19,2018-04-24T00:00:00.000Z,988.781512605042,1374.81512605042,2214.2268907563025,3581.6470588235293,4024.861344537815,4113.983193277311,4351.084033613445,4408.672268907563,4503.109243697479,6125.163865546218,5527.306722689075,5.0
20,2018-04-29T00:00:00.000Z,1116.90756302521,1384.1680672268908,2300.218487394958,3717.705882352941,4192.991596638655,4283.306722689075,4447.571428571428,4489.294117647059,4632.35294117647,6180.390756302521,5465.516806722689,5.0
21,2018-05-04T00:00:00.000Z,1195.3319327731092,1521.9159663865546,2402.81512605042,3818.159663865546,4270.987394957983,4336.294117647059,4600.411764705882,4516.571428571428,4743.306722689075,6297.403361344538,5727.100840336135,5.0
22,2018-05-14T00:00:00.000Z,1071.0378151260504,1245.1512605042017,1891.781512605042,2878.2268907563025,3198.8067226890757,3246.029411764706,3486.13025210084,3284.327731092437,3584.1512605042017,4625.596638655462,3974.831932773109,5.0
23,2018-05-19T00:00:00.000Z,1148.1176470588234,1453.7058823529412,2369.4873949579833,3780.5546218487393,4277.247899159664,4348.470588235294,4507.794117647059,4458.53781512605,4678.214285714285,6280.638655462185,5537.516806722689,5.0
24,2018-05-29T00:00:00.000Z,1541.8067226890757,1913.109243697479,2864.218487394958,3919.5378151260506,4320.243697478992,4368.731092436975,4521.09243697479,4424.218487394958,4681.373949579832,5777.46218487395,4800.529411764706,5.0
25,2018-06-08T00:00:00.000Z,1084.6344537815125,1293.8823529411766,2116.361344537815,3406.831932773109,3874.1512605042017,3943.323529411765,4098.6596638655465,3988.7394957983192,4272.415966386555,6012.6134453781515,5324.693277310925,5.0
26,2018-06-13T00:00:00.000Z,1057.8529411764705,1388.7226890756303,2348.3529411764707,3948.6050420168067,4461.319327731092,4497.3403361344535,4765.046218487395,4565.6134453781515,4841.83193277311,6636.701680672269,6216.1596638655465,5.0
27,2018-06-18T00:00:00.000Z,1288.4579831932774,1560.5966386554621,2481.705882352941,3815.7731092436975,4280.058823529412,4342.365546218487,4497.105042016807,4344.957983193277,4663.911764705882,6232.865546218487,5449.428571428572,5.0
28,2018-07-13T00:00:00.000Z,1159.40756302521,1474.5882352941176,2395.5798319327732,3816.361344537815,4299.529411764706,4396.4747899159665,4665.861344537815,4447.512605042017,4742.05462184874,6278.302521008403,5815.693277310925,5.0
29,2018-07-18T00:00:00.000Z,4184.6760563380285,4241.267605633803,4903.718309859155,5897.7464788732395,6522.295774647887,6561.352112676056,6708.56338028169,6366.2535211267605,6853.619718309859,7248.704225352113,5928.098591549296,7.0
30,2018-07-23T00:00:00.000Z,1036.0336134453783,1359.672268907563,2331.4621848739494,3877.9495798319326,4503.411764705882,4675.5,4970.680672268908,4634.100840336135,4996.336134453782,6696.718487394958,6199.609243697479,5.0
31,2018-07-28T00:00:00.000Z,1130.3529411764705,1360.8991596638655,2326.823529411765,3660.0336134453783,4304.31512605042,4690.882352941177,4901.894957983193,4637.949579831933,5050.731092436975,6363.31512605042,5502.819327731092,5.0
32,2018-08-02T00:00:00.000Z,1069.079831932773,1386.2605042016808,2218.2436974789916,3323.8655462184875,3903.331932773109,4394.689075630252,4780.247899159664,4449.109243697479,4852.31512605042,5916.36974789916,5217.76050420168,5.0
33,2018-08-07T00:00:00.000Z,,,,,,,,,,,,
34,2018-08-22T00:00:00.000Z,861.8949579831933,1144.857142857143,1969.6638655462184,2922.8571428571427,3639.340336134454,4581.247899159664,5067.642857142857,4799.344537815126,5154.731092436975,5459.752100840336,4412.680672268908,4.983193277310924
35,2018-08-27T00:00:00.000Z,,,,,,,,,,,,
36,2018-09-11T00:00:00.000Z,1597.2268907563025,1843.9663865546217,2444.09243697479,3016.4285714285716,3641.516806722689,4338.420168067227,4727.079831932773,4567.0,4816.768907563025,5027.68487394958,3917.1134453781515,5.285714285714286
37,2018-09-16T00:00:00.000Z,922.1722689075631,1143.9579831932774,1985.2268907563025,2914.798319327731,3664.4495798319326,4394.617647058823,4670.5252100840335,4499.411764705882,4910.827731092437,5607.172268907563,4556.83193277311,4.9789915966386555
38,2018-09-21T00:00:00.000Z,857.0504201680673,1161.672268907563,1946.3949579831933,2882.252100840336,3569.9285714285716,4229.802521008403,4624.205882352941,4437.495798319328,4789.584033613445,5568.285714285715,4754.487394957983,5.0
39,2018-09-26T00:00:00.000Z,1081.09243697479,1261.8193277310925,1980.7563025210084,2811.747899159664,3494.9957983193276,4150.83193277311,4418.516806722689,4312.72268907563,4652.9327731092435,5328.453781512605,4320.798319327731,5.0
40,2018-10-01T00:00:00.000Z,836.9117647058823,1197.2016806722688,1991.436974789916,2978.327731092437,3674.2436974789916,4281.701680672269,4671.6134453781515,4520.53781512605,4859.558823529412,5665.638655462185,4816.302521008403,5.0
41,2018-10-06T00:00:00.000Z,838.655462184874,1059.2605042016808,1849.453781512605,2814.8991596638657,3525.0,4072.075630252101,4297.638655462185,4162.9747899159665,4554.378151260505,5466.361344537815,4476.861344537815,5.0
42,2018-10-16T00:00:00.000Z,764.8361344537815,1056.235294117647,1869.7394957983192,2902.5042016806724,3583.705882352941,4111.747899159664,4340.827731092437,4261.806722689075,4581.512605042017,5564.747899159664,4590.663865546218,5.0
43,2018-10-26T00:00:00.000Z,760.9117647058823,1057.2689075630253,1857.890756302521,2949.1176470588234,3612.5504201680674,3964.609243697479,4168.378151260505,4080.5126050420167,4430.382352941177,5572.470588235294,4536.516806722689,5.0
44,2018-10-31T00:00:00.000Z,783.5084033613446,1138.9243697478992,1928.5714285714287,3100.285714285714,3675.075630252101,4016.831932773109,4298.176470588235,4353.90756302521,4478.8865546218485,5696.029411764706,4851.626050420168,5.0
45,2018-11-05T00:00:00.000Z,845.1578947368421,1110.6315789473683,1859.3684210526317,2966.9473684210525,3488.684210526316,3778.2105263157896,3974.4210526315787,4090.9473684210525,4166.526315789473,5159.421052631579,4217.736842105263,5.0
46,2018-11-10T00:00:00.000Z,764.4705882352941,1122.264705882353,1874.546218487395,3030.563025210084,3524.5546218487393,3826.7268907563025,4067.6050420168067,4267.504201680672,4258.205882352941,5425.575630252101,4616.193277310925,5.0
47,2018-11-15T00:00:00.000Z,881.2521008403361,1177.5,2057.6134453781515,3390.5042016806724,3937.659663865546,4266.14705882353,4482.247899159664,4723.252100840336,4716.420168067227,5858.289915966387,4770.90756302521,5.0
48,2018-11-20T00:00:00.000Z,822.3781512605042,1176.1764705882354,1942.0168067226891,3182.2436974789916,3686.2605042016808,3946.1344537815125,4213.8403361344535,4380.756302521008,4433.428571428572,5792.0210084033615,4938.424369747899,5.0
