date,feature_index,avg(band_0),avg(band_1),avg(band_2),avg(band_3),avg(band_4),avg(band_5),avg(band_6),avg(band_7),avg(band_8),avg(band_9),avg(band_10),avg(band_11)
2019-02-18T00:00:00.000Z,0,1242.2601054481547,1604.7697715289983,2296.7627416520213,3448.3022847100174,3842.272407732865,4001.223198594025,4242.27065026362,4474.579964850615,4475.414762741652,5874.001757469245,4940.9964850615115,5.0
2019-08-12T00:00:00.000Z,0,724.6256590509666,869.7891036906855,1521.1880492091389,2013.7644991212653,2707.2091388400704,3899.444639718805,4343.06151142355,4194.101933216169,4587.353251318102,4516.789103690686,3428.583479789104,4.81195079086116
2018-04-19T00:00:00.000Z,0,984.9806678383128,1276.189806678383,2113.5782073813707,3460.8400702987697,3912.611599297012,4069.3444639718805,4276.223198594024,4477.947275922671,4527.98769771529,6050.388400702987,5095.869947275923,5.0
2018-04-24T00:00:00.000Z,0,965.8787346221441,1341.2653778558874,2135.806678383128,3426.7240773286467,3876.792618629174,3987.5008787346223,4245.344463971881,4332.766256590509,4456.388400702987,6028.912126537785,5291.9103690685415,5.0
2020-04-28T00:00:00.000Z,0,1155.2847100175748,1427.469244288225,2233.585237258348,3505.483304042179,4002.145869947276,4098.332161687171,4303.966608084358,4279.237258347979,4552.1423550087875,6004.915641476274,5042.337434094903,5.0
2020-11-29T00:00:00.000Z,0,617.9367311072057,947.5571177504394,1519.95079086116,2458.2302284710017,2963.3251318101934,3233.476274165202,3550.145869947276,3748.961335676626,3909.4411247803164,5087.242530755711,3995.0140597539544,5.0
2021-02-12T00:00:00.000Z,0,888.311072056239,1200.0474516695958,1979.6660808435852,3213.3831282952547,3659.4710017574694,3868.261862917399,4103.848857644991,4428.594024604569,4441.332161687171,5744.644991212654,4549.673110720562,5.0
2023-02-12T00:00:00.000Z,0,1031.980667838313,1304.9173989455185,2021.3391915641475,3186.639718804921,3609.755711775044,3780.5289982425306,3975.212653778559,4228.161687170475,4203.818980667838,5568.353251318102,4601.977152899824,5.0
2023-03-09T00:00:00.000Z,0,,,,,,,,,,,,
2018-07-13T00:00:00.000Z,0,1103.8980667838314,1465.1739894551845,2328.1722319859405,3593.4516695957823,4115.154657293498,4312.223198594024,4609.854130052724,4417.5465729349735,4716.428822495606,6081.133567662566,5481.0562390158175,5.0
2019-02-28T00:00:00.000Z,0,875.1072056239016,1294.340949033392,2062.5588752196836,3299.7891036906854,3729.6678383128296,3892.6449912126536,4157.565905096661,4349.933216168717,4421.439367311072,5940.177504393673,5004.762741652021,5.0
2022-01-13T00:00:00.000Z,0,,,,,,,,,,,,
2022-02-07T00:00:00.000Z,0,959.3602811950791,1308.5553602811951,2094.516695957821,3329.7117750439365,3807.5465729349735,3978.671353251318,4199.311072056239,4432.977152899824,4483.898066783831,5798.390158172232,4656.463971880492,5.0
2019-02-08T00:00:00.000Z,0,809.0105448154658,1250.2776801405976,2051.1880492091386,3324.465729349736,3733.2706502636206,3927.5149384885763,4186.4604569420035,4505.743409490334,4478.866432337434,5877.516695957821,4848.495606326889,5.0
2019-07-03T00:00:00.000Z,0,1175.6379613356767,1411.1634446397188,2193.90158172232,3192.031634446397,3769.7732864674867,4137.2214411247805,4362.666080843585,4211.212653778559,4582.669595782074,5758.239015817223,4758.304042179262,5.0
2023-11-09T00:00:00.000Z,0,943.207381370826,1182.267135325132,1804.2144112478031,2821.388400702988,3323.9543057996484,3538.1142355008787,3777.1441124780317,3915.9648506151143,4085.2355008787345,5391.903339191565,4224.622144112478,5.0
2018-12-10T00:00:00.000Z,0,576.8945518453427,993.0017574692442,1698.6080843585237,2844.330404217926,3257.268892794376,3479.5764499121265,3747.251318101933,4109.177504393673,4085.0087873462217,5425.894551845343,4361.558875219684,5.0
2019-05-19T00:00:00.000Z,0,980.4850615114235,1359.019332161687,2200.629173989455,3605.3743409490335,4132.423550087873,4203.2548330404215,4540.195079086116,4432.4007029876975,4789.96309314587,6428.9701230228475,5648.114235500879,5.0
2020-04-18T00:00:00.000Z,0,1403.8892794376097,1663.9648506151143,2452.0808435852373,3634.323374340949,4097.242530755711,4183.776801405976,4365.753954305799,4396.365553602812,4578.005272407733,6027.852372583479,5072.022847100176,5.0
2020-07-12T00:00:00.000Z,0,1060.5448154657292,1407.0228471001758,2211.602811950791,3444.530755711775,3931.427065026362,4059.261862917399,4371.622144112478,4113.687170474516,4510.105448154657,5975.145869947276,5308.594024604569,5.0
2019-01-14T00:00:00.000Z,0,853.4340949033392,1181.6818980667838,1959.377855887522,3152.042179261863,3584.511423550088,3770.379613356766,3991.5641476274163,4270.1757469244285,4307.499121265378,5644.9173989455185,4478.207381370826,5.0
2019-06-13T00:00:00.000Z,0,,,,,,,,,,,,
2022-03-29T00:00:00.000Z,0,1523.9789103690684,1804.1019332161686,2537.504393673111,3746.0808435852373,4186.126537785589,4348.0826010544815,4540.942003514939,4800.5131810193325,4750.096660808435,6102.743409490334,5068.333919156415,5.0
2018-01-24T00:00:00.000Z,0,965.6291739894552,1386.2601054481547,2192.829525483304,3476.530755711775,3874.720562390158,4074.736379613357,4314.671353251318,4689.188049209139,4579.639718804921,5911.230228471002,4990.231985940246,5.0
2018-02-28T00:00:00.000Z,0,835.5799648506152,1151.9982425307558,1977.92618629174,3256.3831282952547,3735.7820738137084,3868.1968365553603,4065.2038664323372,4157.760984182777,4344.485061511424,5724.302284710017,4767.151142355009,5.0
