date,feature_index,avg(band_0),avg(band_1),avg(band_2),avg(band_3),avg(band_4),avg(band_5),avg(band_6),avg(band_7),avg(band_8),avg(band_9),avg(band_10),avg(band_11)
2018-04-04T00:00:00.000Z,0,1098.8985074626867,1474.6746268656716,2177.337313432836,3382.310447761194,3754.176119402985,3934.5850746268657,4152.513432835821,4451.7731343283585,4428.271641791045,6130.988059701493,5450.017910447761,5.0
2018-04-29T00:00:00.000Z,0,1064.4238805970149,1370.4,2212.9253731343283,3533.862686567164,3995.444776119403,4167.835820895522,4371.35223880597,4495.558208955224,4646.582089552238,6370.868656716418,5557.4597014925375,5.0
2019-07-23T00:00:00.000Z,0,978.2328358208955,1166.9462686567165,1882.3820895522388,2668.7641791044775,3307.859701492537,4147.050746268656,4490.128358208955,4349.211940298507,4874.346268656716,5925.1074626865675,4720.229850746268,4.940298507462686
2020-03-09T00:00:00.000Z,0,960.8985074626866,1254.5432835820895,1999.64776119403,3178.2298507462688,3599.038805970149,3792.1641791044776,4011.8179104477613,4285.337313432836,4359.110447761194,6081.367164179104,5096.835820895522,5.0
2020-03-29T00:00:00.000Z,0,1148.4,1427.3671641791045,2159.617910447761,3325.092537313433,3731.7492537313433,3932.892537313433,4141.388059701492,4373.241791044776,4466.525373134328,6118.95223880597,5179.746268656716,5.0
2020-07-17T00:00:00.000Z,0,,,,,,,,,,,,
2020-10-10T00:00:00.000Z,0,537.2567164179104,727.6477611940298,1157.6835820895521,1604.1820895522387,2146.2895522388058,2807.5373134328356,3154.1223880597013,3114.089552238806,3475.7701492537312,4334.5791044776115,3328.510447761194,4.940298507462686
2020-11-24T00:00:00.000Z,0,606.7701492537313,838.7820895522389,1441.5582089552238,2363.2179104477614,2824.3910447761195,3147.7492537313433,3433.492537313433,3731.665671641791,3886.6089552238805,5307.605970149254,4036.9164179104478,5.0
2020-12-09T00:00:00.000Z,0,535.4776119402985,891.7820895522389,1470.668656716418,2461.5641791044777,2902.892537313433,3171.5014925373134,3470.716417910448,3774.0298507462685,3902.597014925373,5442.534328358209,4338.185074626866,5.0
2021-09-25T00:00:00.000Z,0,611.5850746268657,855.4388059701492,1352.734328358209,1943.2298507462688,2493.9880597014926,3117.4805970149255,3482.805970149254,3536.334328358209,3840.208955223881,4840.35223880597,3840.8179104477613,4.988059701492538
2021-10-20T00:00:00.000Z,0,828.8626865671641,1009.8417910447761,1556.9432835820896,2359.2537313432836,2865.737313432836,3218.734328358209,3491.9223880597015,3528.2985074626868,3906.5850746268657,5250.838805970149,4024.438805970149,5.0
2021-12-19T00:00:00.000Z,0,766.0029850746268,1046.220895522388,1758.6268656716418,2841.6,3264.1492537313434,3502.379104477612,3744.2,4027.805970149254,4141.5791044776115,5624.191044776119,4492.194029850746,5.0
2022-09-25T00:00:00.000Z,0,451.64776119402984,589.310447761194,1128.5582089552238,1563.289552238806,2122.4567164179102,3374.859701492537,3921.0119402985074,3938.576119402985,4298.958208955224,4359.707462686567,3196.7402985074627,4.558208955223881
2023-01-08T00:00:00.000Z,0,661.5223880597015,1063.2059701492537,1710.1611940298508,2826.773134328358,3262.2029850746267,3448.023880597015,3702.9910447761195,3992.6119402985073,4025.3641791044774,5669.982089552239,4922.662686567164,5.0
2023-08-16T00:00:00.000Z,0,509.89850746268655,687.8925373134329,1122.331343283582,1276.9880597014926,1842.3641791044777,3484.2895522388058,4249.182089552239,4152.1074626865675,4582.364179104477,4003.8149253731344,2969.2388059701493,4.128358208955224
2023-10-05T00:00:00.000Z,0,931.7970149253731,1390.44776119403,1955.9223880597015,2717.9582089552237,3182.576119402985,3486.1462686567165,3833.805970149254,3975.594029850746,4319.883582089552,5158.991044776119,4154.674626865672,5.0
2023-10-25T00:00:00.000Z,0,,,,,,,,,,,,
2021-06-27T00:00:00.000Z,0,877.6626865671642,1241.5283582089553,1948.3880597014925,3123.719402985075,3605.4507462686565,3797.668656716418,4086.3014925373136,4071.1701492537313,4374.292537313433,6228.976119402985,5561.140298507463,5.0
2021-07-07T00:00:00.000Z,0,937.7820895522389,1302.6447761194029,2012.6507462686568,3098.7880597014923,3579.0805970149254,3840.9373134328357,4137.453731343284,4099.605970149254,4396.602985074627,6093.238805970149,5365.779104477612,5.0
2018-04-09T00:00:00.000Z,0,1278.9462686567165,1549.0805970149254,2260.208955223881,3374.197014925373,3777.528358208955,3944.0,4139.289552238806,4300.692537313433,4414.964179104478,5971.065671641791,5102.158208955224,5.0
2018-11-10T00:00:00.000Z,0,809.0507462686567,1093.0358208955224,1637.3731343283582,2514.2567164179104,2918.510447761194,3244.594029850746,3517.5522388059703,3792.197014925373,3882.8537313432835,5463.035820895522,4522.0865671641795,5.0
2019-03-25T00:00:00.000Z,0,1199.0119402985074,1477.0149253731342,2228.5671641791046,3409.3074626865673,3825.0746268656717,4025.561194029851,4234.391044776119,4464.059701492537,4544.265671641791,6115.211940298507,5168.023880597015,5.0
2019-07-08T00:00:00.000Z,0,,,,,,,,,,,,
2020-05-13T00:00:00.000Z,0,1028.9164179104478,1397.2955223880597,2118.507462686567,3377.934328358209,3828.3641791044774,3933.3880597014927,4221.782089552239,4199.510447761194,4468.6,6274.740298507462,5664.134328358209,5.0
2020-06-17T00:00:00.000Z,0,,,,,,,,,,,,
2020-09-10T00:00:00.000Z,0,575.6835820895523,760.0268656716418,1203.1522388059702,1440.5820895522388,2022.779104477612,3103.662686567164,3593.731343283582,3568.244776119403,3901.9044776119404,3650.716417910448,2520.617910447761,4.429850746268657
