date,feature_index,avg(band_0),avg(band_1),avg(band_2),avg(band_3),avg(band_4),avg(band_5),avg(band_6),avg(band_7),avg(band_8),avg(band_9),avg(band_10),avg(band_11)
2018-07-28T00:00:00.000Z,0,1285.4109589041095,1569.123287671233,2551.8630136986303,3654.3835616438355,4332.054794520548,4726.0,4956.808219178082,4779.945205479452,5181.178082191781,6423.972602739726,5387.45205479452,5.0
2018-10-21T00:00:00.000Z,0,804.0410958904109,1163.6849315068494,1865.150684931507,2767.671232876712,3372.821917808219,3766.4520547945203,4048.6164383561645,4198.958904109589,4295.2054794520545,5526.027397260274,4700.986301369863,5.0
2021-02-12T00:00:00.000Z,0,1081.3287671232877,1472.2191780821918,2380.986301369863,3661.671232876712,4079.041095890411,4260.260273972603,4448.027397260274,4735.397260273972,4708.712328767123,6142.602739726028,5287.684931506849,5.0
2019-02-28T00:00:00.000Z,0,989.1369863013699,1410.5479452054794,2165.5068493150684,3293.2602739726026,3711.4657534246576,3861.753424657534,4108.780821917808,4267.479452054795,4369.684931506849,6024.780821917808,5328.986301369863,5.0
2019-03-15T00:00:00.000Z,0,1420.3287671232877,1708.986301369863,2433.8356164383563,3462.7123287671234,3886.109589041096,4019.1643835616437,4207.342465753424,4325.369863013699,4474.7945205479455,6047.315068493151,5198.13698630137,5.0
2019-03-20T00:00:00.000Z,0,1567.5753424657535,1911.945205479452,2496.4931506849316,3382.958904109589,3764.3972602739727,3859.5479452054797,4100.260273972603,4181.013698630137,4326.958904109589,5921.534246575343,5290.068493150685,5.0
2020-07-07T00:00:00.000Z,0,1240.835616438356,1633.3424657534247,2559.2876712328766,3757.5068493150684,4277.356164383562,4492.219178082192,4703.643835616438,4610.739726027397,4965.260273972603,6356.191780821918,5429.068493150685,5.0
2022-06-22T00:00:00.000Z,0,908.3287671232877,1467.890410958904,2542.2328767123286,4072.068493150685,4521.575342465753,4577.890410958904,4864.520547945205,4763.41095890411,5060.86301369863,6397.506849315068,5757.0,5.0
2022-10-10T00:00:00.000Z,0,918.4520547945206,1372.6575342465753,2329.4657534246576,2935.794520547945,3886.972602739726,4733.58904109589,5106.1506849315065,5059.780821917808,5359.1506849315065,5513.986301369863,4520.6164383561645,5.0
2018-12-10T00:00:00.000Z,0,750.4246575342465,1195.5616438356165,1957.5342465753424,3067.8630136986303,3494.3835616438355,3699.068493150685,3945.794520547945,4224.438356164384,4209.739726027397,5675.342465753424,4902.1506849315065,5.0
2018-12-15T00:00:00.000Z,0,795.5890410958904,1094.4383561643835,1853.041095890411,2949.041095890411,3399.8082191780823,3586.5479452054797,3805.904109589041,3996.8356164383563,4112.808219178082,5690.780821917808,4803.191780821918,5.0
2021-12-14T00:00:00.000Z,0,807.6301369863014,1309.8219178082193,2121.205479452055,3348.671232876712,3799.3424657534247,4008.328767123288,4273.8493150684935,4485.424657534247,4545.671232876713,6036.986301369863,5236.8493150684935,5.0
2022-01-18T00:00:00.000Z,0,923.2054794520548,1348.7671232876712,2279.753424657534,3599.6164383561645,3994.4931506849316,4215.301369863014,4424.356164383562,4791.821917808219,4685.041095890411,5994.027397260274,5040.986301369863,5.0
2023-01-08T00:00:00.000Z,0,827.8219178082192,1287.013698630137,2060.5753424657532,3261.150684931507,3714.5616438356165,3895.150684931507,4148.520547945205,4353.041095890411,4383.45205479452,5799.13698630137,5146.13698630137,5.0
2023-03-19T00:00:00.000Z,0,1026.109589041096,1499.2602739726028,2314.986301369863,3591.219178082192,4091.7123287671234,4180.575342465753,4468.164383561644,4461.58904109589,4668.643835616438,6200.7945205479455,5563.671232876713,5.0
2023-10-10T00:00:00.000Z,0,779.2465753424658,1319.0821917808219,2328.301369863014,3612.150684931507,4171.465753424657,4472.273972602739,4702.246575342466,4709.506849315068,5068.260273972603,6115.328767123287,5130.260273972603,5.0
2018-04-19T00:00:00.000Z,0,1102.3424657534247,1438.7123287671234,2274.082191780822,3516.1369863013697,3962.246575342466,4112.534246575343,4323.45205479452,4523.972602739726,4622.506849315068,6176.643835616438,5248.1506849315065,5.0
2018-05-14T00:00:00.000Z,0,1444.164383561644,1985.1780821917807,2614.4109589041095,3788.027397260274,4227.493150684932,4318.54794520548,4673.164383561644,4526.684931506849,4921.671232876713,6548.602739726028,5752.958904109589,5.0
2020-07-02T00:00:00.000Z,0,1147.6301369863013,1592.9041095890411,2505.8630136986303,3762.958904109589,4301.506849315068,4425.082191780822,4752.945205479452,4536.273972602739,4946.575342465753,6454.835616438356,5968.808219178082,5.0
2020-12-29T00:00:00.000Z,0,868.4794520547945,1378.9041095890411,2244.8630136986303,3465.6438356164385,3904.8082191780823,4113.41095890411,4348.8493150684935,4599.904109589041,4585.657534246576,5968.630136986301,5275.890410958904,5.0
2021-01-28T00:00:00.000Z,0,934.5205479452055,1429.0958904109589,2282.054794520548,3524.3561643835615,3916.6438356164385,4106.684931506849,4342.191780821918,4652.219178082192,4591.506849315068,6032.904109589041,5370.397260273972,5.0
2021-12-19T00:00:00.000Z,0,898.7123287671233,1303.027397260274,2191.890410958904,3432.671232876712,3893.2602739726026,4095.72602739726,4311.315068493151,4538.945205479452,4578.835616438356,5906.753424657534,4958.0,5.0
2022-01-23T00:00:00.000Z,0,860.3561643835617,1397.4520547945206,2296.4246575342468,3610.7397260273974,3997.27397260274,4188.917808219178,4411.095890410959,4761.027397260274,4656.328767123287,6050.6164383561645,5306.931506849315,5.0
