,date,B1_mean,B2_mean,B3_mean,B4_mean,B5_mean,B6_mean,B7_mean,B8_mean,B9_mean,B10_mean,B11_mean,B12_mean
0,2018-01-04T00:00:00.000Z,715.8707124010554,1130.6345646437994,1839.467018469657,2988.282321899736,3355.4261213720315,3613.750659630607,3867.2889182058047,4308.707124010554,4270.154353562005,5691.982849604222,4733.393139841689,5.0
1,2018-01-09T00:00:00.000Z,825.4736147757257,1057.9023746701846,1765.4775725593668,2835.414248021108,3212.976253298153,3446.7229551451187,3691.2730870712403,4038.688654353562,4078.8759894459104,5480.627968337731,4403.244063324538,5.0
2,2018-01-14T00:00:00.000Z,,,,,,,,,,,,
3,2018-01-19T00:00:00.000Z,1040.150395778364,1328.551451187335,2018.8073878627968,3107.9841688654355,3482.263852242744,3718.8456464379947,3964.4683377308706,4375.026385224274,4352.633245382585,5704.188654353562,4608.639841688654,5.0
4,2018-01-24T00:00:00.000Z,974.0501319261214,1377.5936675461742,2022.2849604221635,3082.065963060686,3434.802110817942,3667.331134564644,3910.608179419525,4332.606860158311,4273.572559366755,5572.746701846966,4664.936675461741,5.0
5,2018-01-29T00:00:00.000Z,1328.6873350923483,1565.364116094987,2137.960422163588,3013.3562005277045,3365.5079155672825,3548.996042216359,3755.5580474934036,3996.060686015831,4098.816622691293,5440.679419525066,4475.616094986807,5.0
6,2018-02-08T00:00:00.000Z,816.3100263852243,1112.1279683377309,1826.8416886543537,2925.9023746701846,3302.4459102902374,3517.5686015831134,3756.4129287598944,4111.796833773087,4136.3812664907655,5633.171503957784,4606.686015831135,5.0
7,2018-02-13T00:00:00.000Z,781.8366445916115,1176.6313465783664,1835.858719646799,2894.4238410596026,3284.690949227373,3484.026490066225,3735.6887417218545,3985.2229580573953,4090.8940397350993,5663.587196467991,4805.80353200883,5.0
8,2018-02-18T00:00:00.000Z,1101.141160949868,1363.532981530343,2048.8100263852243,3105.717678100264,3490.430079155673,3674.9313984168866,3898.9511873350925,4174.467018469657,4255.806068601583,5737.108179419525,4738.018469656992,5.0
9,2018-02-23T00:00:00.000Z,713.8918205804749,1041.8548812664908,1600.514511873351,2576.3087071240107,2997.9788918205804,3160.414248021108,3452.692612137203,3496.6675461741424,3820.804749340369,5472.982849604222,4656.168865435357,5.0
10,2018-02-28T00:00:00.000Z,800.9010554089709,1084.895778364116,1785.3667546174142,2887.4459102902374,3319.390501319261,3502.4815303430078,3748.195250659631,3900.8232189973614,4130.29419525066,5694.5778364116095,4722.372031662269,5.0
11,2018-03-05T00:00:00.000Z,753.3087071240105,1118.8100263852243,1781.5883905013193,2901.32981530343,3312.576517150396,3496.82981530343,3752.873350923483,3993.7044854881265,4098.05672823219,5772.952506596306,4989.001319261214,5.0
12,2018-03-10T00:00:00.000Z,867.8087071240105,1154.72691292876,1867.3482849604222,3002.532981530343,3383.5171503957786,3580.9287598944593,3812.3614775725596,4110.126649076517,4173.767810026386,5670.518469656992,4743.891820580475,5.0
13,2018-03-15T00:00:00.000Z,780.9300791556728,1171.2467018469656,1856.0580474934036,3027.234828496042,3371.1543535620053,3588.9313984168866,3824.142480211082,4236.609498680738,4188.453825857519,5861.331134564643,5064.126649076517,5.0
14,2018-03-20T00:00:00.000Z,872.9036939313984,1171.5131926121371,1905.3746701846965,3068.89709762533,3466.302110817942,3653.635883905013,3887.2480211081793,4173.87598944591,4249.846965699208,5878.88654353562,4938.104221635884,5.0
15,2018-03-25T00:00:00.000Z,1164.4643799472296,1545.4116094986807,2230.271767810026,3364.9736147757258,3743.1912928759893,3937.2137203166226,4174.215039577836,4469.029023746702,4494.948548812665,6228.53562005277,5484.05672823219,5.0
16,2018-03-30T00:00:00.000Z,1652.014511873351,1927.4643799472296,2595.868073878628,3515.514511873351,3878.1728232189976,3996.0778364116095,4164.005277044855,4310.485488126649,4418.728232189974,5790.3073878627965,4915.477572559366,5.0
17,2018-04-04T00:00:00.000Z,1069.2849604221635,1430.461741424802,2082.6437994722955,3196.3430079155673,3539.3469656992083,3724.976253298153,3949.8416886543537,4257.242744063325,4252.496042216359,5886.4472295514515,5173.255936675462,5.0
18,2018-04-09T00:00:00.000Z,1249.4261213720317,1508.6622691292876,2170.5303430079157,3208.047493403694,3596.1213720316623,3746.1820580474932,3948.116094986807,4119.105540897098,4252.604221635884,5754.096306068602,4875.894459102902,5.0
19,2018-04-19T00:00:00.000Z,968.179419525066,1254.825857519789,1984.364116094987,3157.7704485488125,3554.420844327177,3725.1781002638522,3946.9445910290237,4186.899736147757,4277.312664907652,5948.207124010554,5062.3891820580475,5.0
20,2018-04-24T00:00:00.000Z,939.9854881266491,1326.862796833773,2021.4643799472296,3170.3667546174142,3581.4788918205804,3726.3667546174142,3969.0408970976255,4130.4221635883905,4265.713720316623,5982.67018469657,5308.311345646438,5.0
21,2018-04-29T00:00:00.000Z,1009.8759894459102,1299.5408970976252,2068.4406332453827,3280.5224274406332,3716.4947229551453,3867.221635883905,4077.414248021108,4210.675461741424,4385.985488126649,6079.820580474934,5295.007915567282,5.0
22,2018-05-04T00:00:00.000Z,962.730870712401,1326.598944591029,2008.3667546174142,3133.1503957783643,3547.3284960422166,3669.278364116095,3926.811345646438,3941.963060686016,4195.873350923483,5749.7018469657,5175.844327176781,5.0
23,2018-05-09T00:00:00.000Z,1413.013779527559,1631.0275590551182,2408.6023622047246,3636.6456692913384,4079.509842519685,4226.456692913386,4457.972440944882,4433.740157480315,4758.574803149606,6373.3385826771655,5403.797244094489,5.0
