,date,B1_mean,B2_mean,B3_mean,B4_mean,B5_mean,B6_mean,B7_mean,B8_mean,B9_mean,B10_mean,B11_mean,B12_mean
0,2018-01-04T00:00:00.000Z,662.514395393474,1073.1765834932821,1794.1765834932821,2987.0518234165065,3357.7811900191937,3594.510556621881,3853.531669865643,4250.299424184261,4215.591170825336,5756.303262955854,4886.335892514396,5.0
1,2018-01-09T00:00:00.000Z,794.1497120921305,1026.7831094049905,1751.9769673704416,2891.8963531669865,3282.2188099808063,3500.658349328215,3744.610364683301,4073.5239923224567,4101.397312859885,5617.819577735125,4616.836852207293,5.0
2,2018-01-14T00:00:00.000Z,,,,,,,,,,,,
3,2018-02-08T00:00:00.000Z,779.510556621881,1078.7466410748561,1820.2763915547025,2993.539347408829,3379.0595009596927,3589.199616122841,3830.119001919386,4163.451055662188,4178.31094049904,5766.107485604606,4806.3608445297505,5.0
4,2018-02-13T00:00:00.000Z,762.535508637236,1146.2399232245682,1837.57773512476,2988.4030710172747,3392.2284069097886,3566.4913627639157,3834.2629558541266,4039.3704414587332,4147.9462571976965,5829.963531669866,5068.973128598848,5.0
5,2018-02-18T00:00:00.000Z,1040.852207293666,1293.7044145873322,1992.341650671785,3101.8656429942416,3506.5911708253357,3688.650671785029,3920.247600767754,4170.445297504799,4242.7389635316695,5822.589251439539,4881.704414587332,5.0
6,2018-02-23T00:00:00.000Z,799.6449136276392,1150.0134357005759,1767.6928982725528,2825.9232245681383,3260.8598848368524,3383.7236084452975,3702.04990403071,3681.013435700576,4022.0057581573897,5726.723608445298,4964.785028790787,5.0
7,2018-02-28T00:00:00.000Z,864.1209213051824,1146.936660268714,1887.3013435700575,3060.671785028791,3512.0403071017276,3681.0403071017276,3925.046065259117,4032.7408829174665,4256.9443378119,5827.562380038387,4922.395393474088,5.0
8,2018-03-05T00:00:00.000Z,763.2898272552783,1147.978886756238,1870.4721689059502,3094.7485604606527,3529.1919385796546,3698.7197696737044,3963.8598848368524,4162.395393474088,4267.662188099808,5999.512476007678,5259.990403071018,5.0
9,2018-03-15T00:00:00.000Z,781.8426103646833,1169.3570057581574,1886.7178502879078,3123.796545105566,3492.2859884836853,3707.168905950096,3960.6353166986564,4343.811900191939,4295.702495201535,6017.9827255278315,5252.564299424184,5.0
10,2018-03-20T00:00:00.000Z,860.2130518234165,1156.4856046065258,1888.936660268714,3067.2859884836853,3491.6698656429944,3666.0364683301345,3893.9980806142034,4130.287907869481,4213.282149712092,5776.476007677543,4873.038387715931,5.0
11,2018-03-25T00:00:00.000Z,1051.0383877159309,1427.2130518234164,2136.337811900192,3350.7715930902114,3758.694817658349,3959.067178502879,4226.287907869481,4492.9136276391555,4523.581573896353,6249.491362763915,5429.195777351248,5.0
12,2018-03-30T00:00:00.000Z,1701.6564299424185,1967.0518234165067,2646.867562380038,3637.593090211132,4048.4625719769674,4166.815738963532,4358.404990403071,4462.848368522073,4600.046065259117,6060.516314779271,5181.525911708253,5.0
13,2018-04-04T00:00:00.000Z,1027.7024952015356,1384.1497120921306,2049.953934740883,3215.2552783109404,3607.9270633397314,3778.4395393474088,4028.2667946257197,4235.485604606526,4306.710172744722,6017.424184261036,5333.692898272553,5.0
14,2018-04-19T00:00:00.000Z,920.5547024952016,1209.9808061420345,1968.4184261036469,3220.4107485604604,3666.877159309021,3838.8291746641075,4071.5854126679465,4267.239923224568,4388.424184261036,6113.715930902112,5247.182341650671,5.0
15,2018-04-24T00:00:00.000Z,889.9404990403071,1274.9635316698657,2002.4760076775433,3242.126679462572,3685.919385796545,3821.071017274472,4091.7773512476006,4205.8464491362765,4371.2245681381955,6135.470249520154,5457.662188099808,5.0
16,2018-04-29T00:00:00.000Z,951.8848368522073,1244.9596928982726,2036.5758157389635,3307.024952015355,3791.742802303263,3938.341650671785,4167.800383877159,4259.378119001919,4469.917466410749,6171.731285988483,5345.046065259117,5.0
17,2018-05-04T00:00:00.000Z,,,,,,,,,,,,
18,2018-05-14T00:00:00.000Z,949.1074856046065,1347.0978886756238,2081.5508637236085,3320.587332053743,3788.5508637236085,3894.7312859884837,4223.571976967371,4135.193857965451,4500.452975047985,6364.193857965451,5695.606525911709,5.0
19,2018-05-19T00:00:00.000Z,906.8291746641075,1167.5892514395393,1873.0863723608445,3058.433781190019,3540.355086372361,3697.514395393474,3943.5239923224567,3972.0153550863724,4256.585412667946,6015.520153550864,5151.165067178503,5.0
20,2018-06-08T00:00:00.000Z,919.1285988483685,1189.0978886756238,1950.337811900192,3195.147792706334,3665.3224568138194,3785.579654510557,4001.861804222649,3941.224568138196,4252.383877159309,6079.2591170825335,5395.186180422264,5.0
21,2018-06-13T00:00:00.000Z,844.0230326295585,1222.809980806142,1981.6813819577735,3273.8080614203454,3730.593090211132,3824.3704414587332,4114.207293666027,4022.6218809980805,4326.487523992322,6244.967370441459,5844.648752399232,5.0
22,2018-06-18T00:00:00.000Z,1079.9424184261036,1381.5547024952016,2196.610364683301,3421.8157389635317,3870.2168905950098,3981.119001919386,4193.504798464492,4092.0652591170824,4439.305182341651,6139.474088291747,5416.928982725528,5.0
23,2018-07-13T00:00:00.000Z,,,,,,,,,,,,
24,2018-07-23T00:00:00.000Z,750.4990403071017,1057.679462571977,1764.8291746641075,2682.349328214971,3319.1669865642993,3837.126679462572,4195.90019193858,4024.1305182341653,4399.823416506718,5915.030710172745,5238.831094049904,5.0
