date,feature_index,avg(band_0),avg(band_1),avg(band_2),avg(band_3),avg(band_4),avg(band_5),avg(band_6),avg(band_7),avg(band_8),avg(band_9),avg(band_10),avg(band_11)
2019-03-05T00:00:00.000Z,0,,,,,,,,,,,,
2022-04-28T00:00:00.000Z,0,1066.7445887445888,1438.6493506493507,2444.0779220779223,4006.4761904761904,4454.688311688312,4575.809523809524,4767.580086580087,4886.701298701299,5010.229437229437,6513.645021645022,5575.636363636364,5.0
2018-08-22T00:00:00.000Z,0,,,,,,,,,,,,
2019-02-03T00:00:00.000Z,0,736.0,1019.2,1610.0,2617.2,2955.2,3122.2,3327.4,3628.0,3649.2,5257.6,4246.8,5.0
2021-02-02T00:00:00.000Z,0,713.4588744588744,1028.17316017316,1731.3160173160172,2931.978354978355,3335.3679653679656,3605.6623376623374,3839.1991341991343,4197.7835497835495,4131.008658008658,5439.653679653679,4336.930735930736,5.0
2021-07-17T00:00:00.000Z,0,1058.6969696969697,1423.2554112554112,2226.051948051948,3455.991341991342,3963.103896103896,4100.1558441558445,4398.484848484848,4213.896103896104,4573.597402597403,6178.8744588744585,5633.298701298701,5.0
2022-09-25T00:00:00.000Z,0,958.9047619047619,1315.4675324675325,2237.281385281385,3491.6666666666665,4110.653679653679,4656.969696969697,4886.393939393939,4778.441558441558,5096.744588744588,5966.606060606061,5073.515151515152,5.0
2018-05-29T00:00:00.000Z,0,1337.95670995671,1656.5887445887445,2446.6320346320344,3501.4632034632036,3924.4848484848485,4003.307359307359,4200.939393939394,4129.991341991342,4440.4329004329,5678.549783549784,4641.402597402597,5.0
2018-11-25T00:00:00.000Z,0,877.6580086580086,1129.5238095238096,1747.7748917748918,2826.8571428571427,3283.6017316017314,3527.242424242424,3748.2034632034633,4000.787878787879,4038.6753246753246,5462.952380952381,4374.541125541125,5.0
2021-01-28T00:00:00.000Z,0,706.7186147186147,1080.9437229437228,1718.3636363636363,2840.95670995671,3238.069264069264,3489.2597402597403,3738.4848484848485,4064.688311688312,4020.7012987012986,5385.177489177489,4457.761904761905,5.0
2021-07-12T00:00:00.000Z,0,1148.2813852813854,1410.2164502164503,2208.926406926407,3452.627705627706,3950.277056277056,4080.0476190476193,4261.7532467532465,4131.064935064935,4522.268398268398,6109.025974025974,5300.467532467533,5.0
2022-11-04T00:00:00.000Z,0,1212.4805194805194,1484.051948051948,2176.12987012987,3168.285714285714,3734.722943722944,4088.2640692640693,4284.56277056277,4264.467532467533,4473.112554112554,4982.8441558441555,4229.008658008658,5.0
2018-12-25T00:00:00.000Z,0,1071.6926406926407,1312.7186147186146,1925.2294372294373,2980.3030303030305,3393.7922077922076,3604.4935064935066,3791.4069264069262,4068.5108225108224,4057.896103896104,5395.878787878788,4328.502164502164,5.0
2020-10-15T00:00:00.000Z,0,799.0822510822511,982.5930735930735,1632.095238095238,2116.5584415584417,2934.909090909091,3622.21645021645,3875.194805194805,3837.177489177489,4172.077922077922,4547.1861471861475,3461.6103896103896,5.0
2021-03-29T00:00:00.000Z,0,2084.809523809524,2384.311688311688,2831.3333333333335,3641.2294372294373,3978.7099567099567,4101.476190476191,4304.831168831169,4500.1558441558445,4463.727272727273,5633.636363636364,4768.887445887446,5.0
2022-11-29T00:00:00.000Z,0,874.3203463203463,1334.3116883116884,2180.095238095238,3540.5324675324673,4033.2943722943724,4317.792207792208,4535.974025974026,4726.580086580087,4677.636363636364,5872.073593073593,5284.8138528138525,5.0
2018-05-19T00:00:00.000Z,0,1027.2164502164503,1301.6796536796537,2036.8658008658008,3298.3896103896104,3787.6190476190477,3891.7922077922076,4110.848484848485,4133.705627705628,4397.91341991342,5948.800865800866,4908.1255411255415,5.0
2018-11-20T00:00:00.000Z,0,751.0649350649351,1103.030303030303,1703.2207792207791,2807.6796536796537,3256.2987012987014,3497.852813852814,3778.4242424242425,3973.8874458874457,4067.225108225108,5594.606060606061,4684.0,5.0
2021-02-17T00:00:00.000Z,0,1296.030303030303,1635.6883116883116,2213.2380952380954,3151.082251082251,3530.069264069264,3703.116883116883,3939.6147186147186,4109.341991341991,4150.748917748918,5368.004329004329,4488.450216450216,5.0
2021-08-01T00:00:00.000Z,0,1005.2683982683983,1261.6017316017317,2093.2900432900433,3058.7705627705627,3759.6493506493507,4236.255411255412,4428.359307359307,4270.077922077922,4692.865800865801,5894.679653679654,4988.528138528139,5.0
2022-06-12T00:00:00.000Z,0,1174.5194805194806,1553.861471861472,2387.8008658008657,3796.9220779220777,4236.896103896104,4257.554112554112,4533.212121212121,4330.199134199134,4675.506493506494,6316.497835497836,5912.757575757576,5.0
2022-12-29T00:00:00.000Z,0,1000.8051948051948,1399.9134199134198,2170.34632034632,3458.7099567099567,3921.818181818182,4119.402597402597,4346.761904761905,4485.160173160173,4476.021645021645,5764.688311688312,5252.008658008658,5.0
2018-07-13T00:00:00.000Z,0,1137.004329004329,1519.4632034632034,2316.943722943723,3508.943722943723,4018.2683982683984,4225.653679653679,4529.298701298701,4370.597402597403,4692.242424242424,6086.658008658009,5407.281385281385,5.0
2020-01-09T00:00:00.000Z,0,815.2987012987013,1063.7229437229437,1634.3463203463205,2586.4935064935066,2992.2337662337663,3144.969696969697,3320.930735930736,3398.822510822511,3584.6147186147186,5213.134199134199,4410.220779220779,5.0
2023-02-22T00:00:00.000Z,0,775.2380952380952,1295.5151515151515,2400.0,4059.008658008658,4543.458874458875,4702.359307359307,4864.0952380952385,5033.978354978355,5022.112554112554,6409.705627705628,5577.458874458875,5.0
