date,feature_index,avg(band_0),avg(band_1),avg(band_2),avg(band_3),avg(band_4),avg(band_5),avg(band_6),avg(band_7),avg(band_8),avg(band_9),avg(band_10),avg(band_11)
2018-09-16T00:00:00.000Z,0,,,,,,,,,,,,
2018-10-06T00:00:00.000Z,0,793.2837837837837,1009.7220077220077,1745.5289575289576,2868.8880308880307,3495.9324324324325,3972.7509652509652,4224.623552123552,4001.7490347490348,4479.909266409267,5439.5,4627.370656370656,5.0
2023-09-10T00:00:00.000Z,0,795.7200772200772,1094.5135135135135,1986.0868725868727,3298.119691119691,3969.73166023166,4623.621621621622,4902.805019305019,4756.478764478765,5146.212355212355,5963.9034749034745,5100.530888030888,5.0
2019-09-06T00:00:00.000Z,0,651.8861003861003,950.3552123552123,1665.903474903475,2552.0945945945946,3282.4594594594596,4291.150579150579,4719.291505791506,4523.135135135135,4855.372586872587,5166.486486486487,4360.482625482626,4.994208494208494
2019-11-30T00:00:00.000Z,0,664.6949806949807,953.6254826254826,1741.8127413127413,3061.019305019305,3523.361003861004,3782.7027027027025,3981.1602316602316,4165.152509652509,4226.644787644787,5650.418918918919,4820.803088803089,5.0
2020-12-24T00:00:00.000Z,0,649.5173745173745,942.3687258687258,1721.5521235521235,3024.430501930502,3522.4710424710424,3806.0212355212357,4022.0559845559847,4202.532818532819,4287.642857142857,5607.005791505791,4753.343629343629,5.0
2021-10-30T00:00:00.000Z,0,822.6833976833976,1082.596525096525,1831.2471042471043,3135.337837837838,3664.3841698841698,3997.2818532818533,4223.803088803089,4360.783783783784,4478.820463320463,5686.164092664093,4769.810810810811,5.0
2022-02-07T00:00:00.000Z,0,888.546332046332,1212.8552123552124,2013.2586872586874,3430.5366795366795,3910.330115830116,4126.393822393822,4332.675675675676,4546.316602316602,4581.30888030888,5969.11583011583,5088.629343629344,5.0
2023-10-20T00:00:00.000Z,0,741.1428571428571,1021.8667953667954,1842.4787644787646,3263.799227799228,3924.1949806949806,4293.492277992278,4525.015444015444,4470.117760617761,4737.092664092664,6008.152509652509,5117.138996138996,5.0
2018-10-16T00:00:00.000Z,0,827.0830115830116,1093.69305019305,1903.092664092664,3187.320463320463,3830.3166023166023,4324.254826254826,4582.747104247104,4452.737451737452,4828.926640926641,5946.216216216216,5090.322393822394,5.0
2018-11-10T00:00:00.000Z,0,826.6293436293437,1192.6447876447876,1914.111969111969,3214.2664092664095,3682.2837837837837,4017.0714285714284,4264.314671814672,4463.509652509652,4481.034749034749,5772.449806949807,5097.5,5.0
2020-04-28T00:00:00.000Z,0,1082.1525096525097,1337.5019305019305,2075.5868725868727,3414.4362934362935,3882.80694980695,3999.9189189189187,4204.752895752896,4152.250965250965,4443.326254826255,5984.167953667954,5192.750965250965,5.0
2021-11-14T00:00:00.000Z,0,639.6409266409266,1015.2046332046332,1765.1969111969113,3128.9826254826253,3605.415057915058,3897.623552123552,4150.279922779922,4315.208494208494,4383.747104247104,5784.515444015444,5059.905405405405,5.0
2022-02-12T00:00:00.000Z,0,1033.1409266409266,1377.8030888030887,2049.830115830116,3400.3783783783783,3833.262548262548,4055.359073359073,4276.766409266409,4520.27027027027,4479.6138996139,5914.53667953668,5281.2277992278,5.0
2023-11-09T00:00:00.000Z,0,627.1447876447877,797.6911196911196,1385.2200772200772,2412.6332046332045,2865.279922779923,3124.3880308880307,3314.227799227799,3281.389961389961,3496.254826254826,4333.849420849421,3688.3011583011585,5.0
2018-03-30T00:00:00.000Z,0,1668.081081081081,1926.054054054054,2571.4710424710424,3577.3667953667955,3974.2702702702704,4073.720077220077,4234.7722007722,4319.8378378378375,4439.901544401544,5771.353281853282,4928.106177606178,5.0
2018-05-14T00:00:00.000Z,0,951.523166023166,1380.969111969112,2084.779922779923,3385.8494208494208,3829.426640926641,3921.3629343629345,4214.015444015444,4079.6254826254826,4418.322393822394,6005.754826254826,5343.233590733591,5.0
2019-10-16T00:00:00.000Z,0,708.4382239382239,1036.3513513513512,1705.015444015444,2752.7181467181467,3331.054054054054,3712.96138996139,4008.542471042471,3915.1988416988415,4207.907335907336,5311.237451737452,4571.700772200772,5.0
2020-02-08T00:00:00.000Z,0,973.542471042471,1241.3050193050194,2012.888030888031,3348.7915057915056,3775.519305019305,3970.399613899614,4162.588803088803,4377.555984555985,4392.8378378378375,5817.312741312741,5027.590733590733,5.0
2020-02-23T00:00:00.000Z,0,776.4169884169884,1141.7779922779923,1851.11583011583,3186.4131274131273,3602.1814671814673,3790.166023166023,4020.2741312741314,4167.293436293437,4242.4980694980695,5916.415057915058,5388.820463320463,5.0
2020-09-30T00:00:00.000Z,0,768.1332046332046,1086.934362934363,1805.899613899614,2921.723938223938,3563.73166023166,4120.905405405405,4481.889961389961,4277.123552123552,4687.140926640926,5659.527027027027,4963.77027027027,5.0
2020-11-04T00:00:00.000Z,0,973.1023166023166,1188.6293436293436,1886.3629343629343,3013.9864864864867,3608.635135135135,4016.2084942084944,4240.252895752896,4315.146718146718,4486.453667953668,5565.332046332046,4664.621621621622,5.0
2021-04-28T00:00:00.000Z,0,965.3416988416989,1327.984555984556,2049.8262548262546,3424.4054054054054,3880.969111969112,4007.7432432432433,4274.918918918919,4278.822393822394,4473.2722007722,6110.843629343629,5522.357142857143,5.0
2021-05-23T00:00:00.000Z,0,929.434362934363,1199.6351351351352,1994.8339768339767,3457.007722007722,3971.895752895753,4092.2355212355214,4300.851351351352,4219.1003861003865,4558.459459459459,6178.7683397683395,5410.841698841698,5.0
